session_date,year,ib_high,ib_low,ib_mid,ib_range,med_ib_bar_range,bin_width,bins_across_ib,n_grid_bins,poc,vah,val,over_high,over_low,over_high_bins,over_low_bins
2015-05-15,2015,4506.75,4487.25,4497.0,19.5,3.125,3.25,6.0,7,4493.125,4507.75,4491.5,1.0,-4.25,0.3076923076923077,-1.3076923076923077
2015-05-18,2015,4491.5,4478.25,4484.875,13.25,2.5,2.5,5.3,6,4483.75,4490.0,4477.5,-1.5,0.75,-0.6,0.3
2015-05-19,2015,4520.5,4508.0,4514.25,12.5,3.125,3.25,3.8461538461538463,4,4515.875,4517.5,4507.75,-3.0,0.25,-0.9230769230769231,0.07692307692307693
2015-05-20,2015,4507.5,4482.25,4494.875,25.25,2.875,3.0,8.416666666666666,9,4486.5,4494.0,4482.0,-13.5,0.25,-4.5,0.08333333333333333
2015-05-21,2015,4505.5,4492.0,4498.75,13.5,2.5,2.5,5.4,7,4501.25,4502.5,4495.0,-3.0,-3.0,-1.2,-1.2
2015-05-22,2015,4538.0,4522.0,4530.0,16.0,2.5,2.5,6.4,8,4531.25,4537.5,4525.0,-0.5,-3.0,-0.2,-1.2
2015-05-26,2015,4521.75,4486.75,4504.25,35.0,4.5,4.5,7.777777777777778,8,4506.75,4518.0,4486.5,-3.75,0.25,-0.8333333333333334,0.05555555555555555
2015-05-27,2015,4514.75,4477.0,4495.875,37.75,3.875,4.0,9.4375,10,4510.0,4512.0,4484.0,-2.75,-7.0,-0.6875,-1.75
2015-05-28,2015,4547.5,4524.5,4536.0,23.0,3.25,3.25,7.076923076923077,8,4541.875,4543.5,4527.25,-4.0,-2.75,-1.2307692307692308,-0.8461538461538461
2015-05-29,2015,4539.0,4525.25,4532.125,13.75,3.625,3.75,3.6666666666666665,5,4531.875,4533.75,4522.5,-5.25,2.75,-1.4,0.7333333333333333
2015-06-01,2015,4536.0,4496.25,4516.125,39.75,3.625,3.75,10.6,11,4516.875,4533.75,4500.0,-2.25,-3.75,-0.6,-1.0
2015-06-02,2015,4510.75,4483.75,4497.25,27.0,4.75,4.75,5.684210526315789,7,4491.125,4503.0,4479.25,-7.75,4.5,-1.631578947368421,0.9473684210526315
2015-06-03,2015,4534.5,4513.75,4524.125,20.75,3.75,3.75,5.533333333333333,7,4524.375,4533.75,4515.0,-0.75,-1.25,-0.2,-0.3333333333333333
2015-06-04,2015,4519.75,4493.25,4506.5,26.5,4.625,4.75,5.578947368421052,7,4500.625,4522.0,4498.25,2.25,-5.0,0.47368421052631576,-1.0526315789473684
2015-06-05,2015,4489.75,4449.25,4469.5,40.5,4.75,4.75,8.526315789473685,10,4462.625,4474.5,4450.75,-15.25,-1.5,-3.210526315789474,-0.3157894736842105
2015-06-08,2015,4478.5,4457.5,4468.0,21.0,3.75,3.75,5.6,7,4471.875,4473.75,4455.0,-4.75,2.5,-1.2666666666666666,0.6666666666666666
2015-06-09,2015,4428.5,4400.5,4414.5,28.0,4.5,4.5,6.222222222222222,8,4403.25,4423.5,4401.0,-5.0,-0.5,-1.1111111111111112,-0.1111111111111111
2015-06-10,2015,4454.75,4433.5,4444.125,21.25,3.375,3.5,6.071428571428571,7,4450.25,4452.0,4434.5,-2.75,-1.0,-0.7857142857142857,-0.2857142857142857
2015-06-11,2015,4512.0,4496.25,4504.125,15.75,3.375,3.5,4.5,6,4506.25,4515.0,4497.5,3.0,-1.25,0.8571428571428571,-0.35714285714285715
2015-06-12,2015,4475.75,4458.5,4467.125,17.25,3.625,3.75,4.6,6,4464.375,4473.75,4455.0,-2.0,3.5,-0.5333333333333333,0.9333333333333333
2015-06-15,2015,4414.0,4386.5,4400.25,27.5,3.75,3.75,7.333333333333333,9,4400.625,4410.0,4391.25,-4.0,-4.75,-1.0666666666666667,-1.2666666666666666
2015-06-16,2015,4439.75,4416.75,4428.25,23.0,3.375,3.5,6.571428571428571,8,4432.75,4441.5,4424.0,1.75,-7.25,0.5,-2.0714285714285716
2015-06-17,2015,4465.5,4455.25,4460.375,10.25,2.5,2.5,4.1,5,4461.25,4462.5,4455.0,-3.0,0.25,-1.2,0.1
2015-06-18,2015,4504.0,4475.0,4489.5,29.0,2.75,2.75,10.545454545454545,11,4489.375,4501.75,4482.5,-2.25,-7.5,-0.8181818181818182,-2.727272727272727
2015-06-19,2015,4533.5,4512.25,4522.875,21.25,2.5,2.5,8.5,10,4518.75,4530.0,4512.5,-3.5,-0.25,-1.4,-0.1
2015-06-22,2015,4546.0,4531.75,4538.875,14.25,3.0,3.0,4.75,6,4537.5,4545.0,4536.0,-1.0,-4.25,-0.3333333333333333,-1.4166666666666667
2015-06-23,2015,4545.75,4534.0,4539.875,11.75,2.5,2.5,4.7,6,4536.25,4542.5,4535.0,-3.25,-1.0,-1.3,-0.4
2015-06-24,2015,4543.0,4530.0,4536.5,13.0,2.125,2.25,5.777777777777778,7,4539.375,4545.0,4533.75,2.0,-3.75,0.8888888888888888,-1.6666666666666667
2015-06-25,2015,4536.75,4518.25,4527.5,18.5,3.25,3.25,5.6923076923076925,6,4522.375,4537.0,4520.75,0.25,-2.5,0.07692307692307693,-0.7692307692307693
2015-06-26,2015,4512.25,4489.5,4500.875,22.75,3.0,3.0,7.583333333333333,9,4498.5,4506.0,4491.0,-6.25,-1.5,-2.0833333333333335,-0.5
2015-06-29,2015,4451.5,4419.0,4435.25,32.5,4.25,4.25,7.647058823529412,9,4447.625,4449.75,4420.0,-1.75,-1.0,-0.4117647058823529,-0.23529411764705882
2015-06-30,2015,4403.75,4385.25,4394.5,18.5,3.875,4.0,4.625,5,4394.0,4404.0,4392.0,0.25,-6.75,0.0625,-1.6875
2015-07-02,2015,4437.25,4425.75,4431.5,11.5,3.125,3.25,3.5384615384615383,5,4431.375,4439.5,4429.75,2.25,-4.0,0.6923076923076923,-1.2307692307692308
2015-07-06,2015,4411.75,4384.75,4398.25,27.0,4.125,4.25,6.352941176470588,8,4405.125,4407.25,4386.0,-4.5,-1.25,-1.0588235294117647,-0.29411764705882354
2015-07-07,2015,4418.25,4385.75,4402.0,32.5,3.75,3.75,8.666666666666666,10,4396.875,4406.25,4387.5,-12.0,-1.75,-3.2,-0.4666666666666667
2015-07-09,2015,4407.25,4388.25,4397.75,19.0,3.75,3.75,5.066666666666666,6,4396.875,4406.25,4395.0,-1.0,-6.75,-0.26666666666666666,-1.8
2015-07-10,2015,4402.5,4391.25,4396.875,11.25,3.375,3.5,3.2142857142857144,4,4397.75,4399.5,4389.0,-3.0,2.25,-0.8571428571428571,0.6428571428571429
2015-07-13,2015,4473.75,4448.25,4461.0,25.5,3.25,3.25,7.846153846153846,9,4467.125,4475.25,4452.5,1.5,-4.25,0.46153846153846156,-1.3076923076923077
2015-07-14,2015,4504.5,4491.0,4497.75,13.5,3.0,3.0,4.5,5,4498.5,4506.0,4491.0,1.5,0.0,0.5,0.0
2015-07-15,2015,4535.0,4519.5,4527.25,15.5,2.75,2.75,5.636363636363637,7,4527.875,4534.75,4521.0,-0.25,-1.5,-0.09090909090909091,-0.5454545454545454
2015-07-16,2015,4565.0,4551.0,4558.0,14.0,2.625,2.75,5.090909090909091,6,4555.375,4562.25,4554.0,-2.75,-3.0,-1.0,-1.0909090909090908
2015-07-17,2015,4627.5,4615.5,4621.5,12.0,2.5,2.5,4.8,5,4623.75,4627.5,4617.5,0.0,-2.0,0.0,-0.8
2015-07-20,2015,4664.0,4650.25,4657.125,13.75,3.0,3.0,4.583333333333333,5,4657.5,4665.0,4650.0,1.0,0.25,0.3333333333333333,0.08333333333333333
2015-07-21,2015,4676.25,4660.25,4668.25,16.0,2.5,2.5,6.4,7,4668.75,4675.0,4662.5,-1.25,-2.25,-0.5,-0.9
2015-07-22,2015,4632.0,4594.75,4613.375,37.25,4.75,4.75,7.842105263157895,9,4619.375,4631.25,4607.5,-0.75,-12.75,-0.15789473684210525,-2.6842105263157894
2015-07-23,2015,4626.0,4609.75,4617.875,16.25,3.375,3.5,4.642857142857143,5,4614.75,4623.5,4613.0,-2.5,-3.25,-0.7142857142857143,-0.9285714285714286
2015-07-24,2015,4623.75,4600.5,4612.125,23.25,3.625,3.75,6.2,7,4610.625,4620.0,4601.25,-3.75,-0.75,-1.0,-0.2
2015-07-27,2015,4533.75,4507.25,4520.5,26.5,3.75,3.75,7.066666666666666,8,4516.875,4526.25,4507.5,-7.5,-0.25,-2.0,-0.06666666666666667
2015-07-28,2015,4534.0,4501.25,4517.625,32.75,5.0,5.0,6.55,7,4512.5,4525.0,4500.0,-9.0,1.25,-1.8,0.25
2015-07-29,2015,4568.5,4549.25,4558.875,19.25,3.5,3.5,5.5,7,4565.75,4567.5,4550.0,-1.0,-0.75,-0.2857142857142857,-0.21428571428571427
2015-07-30,2015,4566.25,4534.25,4550.25,32.0,3.75,3.75,8.533333333333333,9,4539.375,4556.25,4537.5,-10.0,-3.25,-2.6666666666666665,-0.8666666666666667
2015-07-31,2015,4608.25,4583.5,4595.875,24.75,4.0,4.0,6.1875,8,4590.0,4608.0,4588.0,-0.25,-4.5,-0.0625,-1.125
2015-08-03,2015,4599.25,4580.25,4589.75,19.0,3.75,3.75,5.066666666666666,6,4591.875,4593.75,4582.5,-5.5,-2.25,-1.4666666666666666,-0.6
2015-08-04,2015,4574.5,4552.5,4563.5,22.0,4.25,4.25,5.176470588235294,6,4570.875,4573.0,4560.25,-1.5,-7.75,-0.35294117647058826,-1.8235294117647058
2015-08-05,2015,4617.0,4583.0,4600.0,34.0,4.5,4.5,7.555555555555555,8,4610.25,4612.5,4581.0,-4.5,2.0,-1.0,0.4444444444444444
2015-08-06,2015,4608.0,4565.75,4586.875,42.25,4.375,4.5,9.38888888888889,10,4583.25,4594.5,4563.0,-13.5,2.75,-3.0,0.6111111111111112
2015-08-07,2015,4528.75,4498.25,4513.5,30.5,5.375,5.5,5.545454545454546,7,4507.25,4521.0,4493.5,-7.75,4.75,-1.4090909090909092,0.8636363636363636
2015-08-10,2015,4573.0,4546.0,4559.5,27.0,3.375,3.5,7.714285714285714,9,4565.75,4574.5,4557.0,1.5,-11.0,0.42857142857142855,-3.142857142857143
2015-08-11,2015,4563.25,4534.0,4548.625,29.25,5.25,5.25,5.571428571428571,7,4554.375,4567.5,4541.25,4.25,-7.25,0.8095238095238095,-1.380952380952381
2015-08-12,2015,4480.5,4449.0,4464.75,31.5,5.75,5.75,5.478260869565218,7,4459.125,4473.5,4456.25,-7.0,-7.25,-1.2173913043478262,-1.2608695652173914
2015-08-13,2015,4544.0,4512.75,4528.375,31.25,6.25,6.25,5.0,6,4521.875,4537.5,4518.75,-6.5,-6.0,-1.04,-0.96
2015-08-14,2015,4523.75,4502.0,4512.875,21.75,3.75,3.75,5.8,7,4513.125,4522.5,4503.75,-1.25,-1.75,-0.3333333333333333,-0.4666666666666667
2015-08-17,2015,4515.75,4503.25,4509.5,12.5,4.25,4.25,2.9411764705882355,4,4511.375,4513.5,4500.75,-2.25,2.5,-0.5294117647058824,0.5882352941176471
2015-08-18,2015,4557.75,4542.5,4550.125,15.25,3.25,3.25,4.6923076923076925,6,4551.625,4553.25,4543.5,-4.5,-1.0,-1.3846153846153846,-0.3076923076923077
2015-08-19,2015,4526.75,4500.5,4513.625,26.25,3.875,4.0,6.5625,7,4510.0,4520.0,4500.0,-6.75,0.5,-1.6875,0.125
2015-08-20,2015,4482.25,4457.25,4469.75,25.0,5.25,5.25,4.761904761904762,5,4465.125,4478.25,4462.5,-4.0,-5.25,-0.7619047619047619,-1.0
2015-08-21,2015,4344.75,4302.25,4323.5,42.5,6.375,6.5,6.538461538461538,8,4332.25,4335.5,4303.0,-9.25,-0.75,-1.4230769230769231,-0.11538461538461539
2015-08-24,2015,4043.25,3908.25,3975.75,135.0,15.0,15.0,9.0,10,3997.5,4035.0,3960.0,-8.25,-51.75,-0.55,-3.45
2015-08-25,2015,4183.75,4134.5,4159.125,49.25,11.875,12.0,4.104166666666667,5,4158.0,4188.0,4152.0,4.25,-17.5,0.3541666666666667,-1.4583333333333333
2015-08-26,2015,4149.75,4100.5,4125.125,49.25,10.0,10.0,4.925,5,4115.0,4140.0,4110.0,-9.75,-9.5,-0.975,-0.95
2015-08-27,2015,4299.5,4264.5,4282.0,35.0,6.5,6.5,5.384615384615385,6,4280.25,4296.5,4264.0,-3.0,0.5,-0.46153846153846156,0.07692307692307693
2015-08-28,2015,4324.25,4297.75,4311.0,26.5,6.625,6.75,3.925925925925926,5,4316.625,4320.0,4299.75,-4.25,-2.0,-0.6296296296296297,-0.2962962962962963
2015-08-31,2015,4315.75,4287.0,4301.375,28.75,6.625,6.75,4.2592592592592595,5,4303.125,4306.5,4286.25,-9.25,0.75,-1.3703703703703705,0.1111111111111111
2015-09-01,2015,4223.0,4162.25,4192.625,60.75,9.0,9.0,6.75,8,4189.5,4230.0,4185.0,7.0,-22.75,0.7777777777777778,-2.5277777777777777
2015-09-02,2015,4211.25,4180.5,4195.875,30.75,6.25,6.25,4.92,6,4190.625,4206.25,4187.5,-5.0,-7.0,-0.8,-1.12
2015-09-03,2015,4287.0,4257.25,4272.125,29.75,5.75,5.75,5.173913043478261,6,4275.125,4289.5,4260.75,2.5,-3.5,0.43478260869565216,-0.6086956521739131
2015-09-04,2015,4203.5,4171.25,4187.375,32.25,7.0,7.0,4.607142857142857,6,4175.5,4193.0,4172.0,-10.5,-0.75,-1.5,-0.10714285714285714
2015-09-08,2015,4291.5,4260.75,4276.125,30.75,4.375,4.5,6.833333333333333,8,4281.75,4284.0,4261.5,-7.5,-0.75,-1.6666666666666667,-0.16666666666666666
2015-09-09,2015,4352.25,4327.0,4339.625,25.25,4.625,4.75,5.315789473684211,7,4343.875,4355.75,4332.0,3.5,-5.0,0.7368421052631579,-1.0526315789473684
2015-09-10,2015,4271.75,4241.75,4256.75,30.0,5.875,6.0,5.0,6,4263.0,4272.0,4248.0,0.25,-6.25,0.041666666666666664,-1.0416666666666667
2015-09-11,2015,4289.0,4270.25,4279.625,18.75,4.625,4.75,3.9473684210526314,4,4282.125,4284.5,4270.25,-4.5,0.0,-0.9473684210526315,0.0
2015-09-14,2015,4329.0,4290.75,4309.875,38.25,4.125,4.25,9.0,10,4311.625,4313.75,4292.5,-15.25,-1.75,-3.588235294117647,-0.4117647058823529
2015-09-16,2015,4358.75,4335.75,4347.25,23.0,4.0,4.0,5.75,7,4342.0,4360.0,4340.0,1.25,-4.25,0.3125,-1.0625
2015-09-17,2015,4375.75,4364.25,4370.0,11.5,3.25,3.25,3.5384615384615383,5,4369.625,4371.25,4361.5,-4.5,2.75,-1.3846153846153846,0.8461538461538461
2015-09-18,2015,4336.75,4305.25,4321.0,31.5,5.0,5.0,6.3,7,4322.5,4335.0,4320.0,-1.75,-14.75,-0.35,-2.95
2015-09-21,2015,4346.5,4326.75,4336.625,19.75,4.125,4.25,4.647058823529412,5,4341.375,4343.5,4330.75,-3.0,-4.0,-0.7058823529411765,-0.9411764705882353
2015-09-22,2015,4273.5,4251.75,4262.625,21.75,4.625,4.75,4.578947368421052,5,4258.375,4270.25,4256.0,-3.25,-4.25,-0.6842105263157895,-0.8947368421052632
2015-09-23,2015,4273.25,4247.5,4260.375,25.75,4.375,4.5,5.722222222222222,7,4254.75,4275.0,4252.5,1.75,-5.0,0.3888888888888889,-1.1111111111111112
2015-09-24,2015,4233.75,4200.25,4217.0,33.5,4.5,4.5,7.444444444444445,8,4205.25,4234.5,4203.0,0.75,-2.75,0.16666666666666666,-0.6111111111111112
2015-09-25,2015,4298.5,4275.75,4287.125,22.75,4.75,4.75,4.7894736842105265,5,4291.625,4294.0,4279.75,-4.5,-4.0,-0.9473684210526315,-0.8421052631578947
2015-09-28,2015,4197.0,4156.0,4176.5,41.0,5.375,5.5,7.454545454545454,9,4188.25,4191.0,4163.5,-6.0,-7.5,-1.0909090909090908,-1.3636363636363635
2015-09-29,2015,4114.0,4072.75,4093.375,41.25,6.125,6.25,6.6,8,4090.625,4106.25,4075.0,-7.75,-2.25,-1.24,-0.36
2015-09-30,2015,4152.5,4124.25,4138.375,28.25,5.25,5.25,5.380952380952381,6,4139.625,4152.75,4126.5,0.25,-2.25,0.047619047619047616,-0.42857142857142855
2015-10-01,2015,4177.25,4131.0,4154.125,46.25,5.375,5.5,8.409090909090908,9,4149.75,4163.5,4136.0,-13.75,-5.0,-2.5,-0.9090909090909091
2015-10-02,2015,4137.0,4111.5,4124.25,25.5,6.25,6.25,4.08,5,4128.125,4131.25,4112.5,-5.75,-1.0,-0.92,-0.16
2015-10-05,2015,4292.25,4279.0,4285.625,13.25,4.125,4.25,3.1176470588235294,4,4286.125,4288.25,4275.5,-4.0,3.5,-0.9411764705882353,0.8235294117647058
2015-10-06,2015,4322.0,4299.75,4310.875,22.25,4.25,4.25,5.235294117647059,6,4315.875,4318.0,4305.25,-4.0,-5.5,-0.9411764705882353,-1.2941176470588236
2015-10-07,2015,4332.0,4308.5,4320.25,23.5,4.375,4.5,5.222222222222222,6,4326.75,4329.0,4315.5,-3.0,-7.0,-0.6666666666666666,-1.5555555555555556
2015-10-08,2015,4309.75,4292.0,4300.875,17.75,4.25,4.25,4.176470588235294,6,4298.875,4309.5,4296.75,-0.25,-4.75,-0.058823529411764705,-1.1176470588235294
2015-10-09,2015,4356.25,4331.25,4343.75,25.0,4.625,4.75,5.2631578947368425,7,4348.625,4351.0,4336.75,-5.25,-5.5,-1.105263157894737,-1.1578947368421053
2015-10-12,2015,4374.75,4355.25,4365.0,19.5,3.375,3.5,5.571428571428571,6,4362.75,4371.5,4354.0,-3.25,1.25,-0.9285714285714286,0.35714285714285715
